,TIME,USER
1439,589.44135,53
1440,589.45782,53
1441,589.47461,53
1443,589.49072,36
1445,589.50745,-10
1447,589.52356,6
1449,589.53992,56
1451,589.55634,59
1453,589.57306,114
1455,589.58936,84
1457,589.60565,128
1459,589.62244,70
1461,589.63849,88
1463,589.65509,49
1465,589.67163,500
1467,589.68781,114
1469,589.70422,500
1471,589.72076,136
1473,589.73712,128
1475,589.75354,29
1477,589.77026,77
1479,589.78650,6
1481,589.80280,-57
1483,589.81921,6
1485,589.83557,-5
1487,589.85217,64
1489,589.86920,119
1491,589.88489,87
1492,589.90161,87
1493,589.91803,87
1495,589.93439,84
1497,589.95099,21
1499,589.96802,11
1501,589.99384,66
1503,590.00024,97
1505,590.01678,72
1507,590.03271,102
1509,590.04944,90
1511,590.06659,500
1513,590.08215,500
1515,590.09851,500
1517,590.11554,500
1519,590.13153,-110
1521,590.14783,-293
1523,590.16461,-420
1525,590.18121,-385
1527,590.19714,-273
1528,590.21356,-273
1530,590.22998,-69
1532,590.24658,-40
1534,590.26282,37
1536,590.27979,26
1538,590.29749,1
1540,590.31244,45
1542,590.32849,104
1544,590.34503,500
1546,590.36133,146
1547,590.37817,146
1548,590.39423,146
1549,590.41064,146
1551,590.43091,144
1553,590.44366,125
1555,590.46008,97
1557,590.47650,52
1559,590.49298,123
1561,590.50922,500
1563,590.52594,67
1565,590.54218,35
1567,590.55859,71
1569,590.57507,-5
1571,590.59155,76
1572,590.60803,76
1574,590.62421,101
1576,590.64069,71
1578,590.65717,24
1580,590.67523,103
1582,590.69055,64
1584,590.70642,106
1586,590.72302,118
1588,590.73926,90
1590,590.75623,68
1592,590.77216,60
1594,590.78864,83
1596,590.80518,-35
1598,590.82159,40
1600,590.83789,34
1602,590.85486,10
1603,590.87140,10
1604,590.88721,10
1606,590.90424,8
1608,590.92004,7
1610,590.95428,28
1612,591.00403,-1
1614,591.04047,35
1616,591.06366,-10
1618,591.13879,70
1620,591.14514,115
1622,591.14777,86
1624,591.16241,51
1626,591.16730,500
1628,591.18518,500
1630,591.18866,500
1632,591.19177,150
1634,591.19934,139
1636,591.21582,500
1638,591.24036,500
1640,591.25214,106
1642,591.26514,141
1644,591.28802,89
1646,591.29785,54
1648,591.31433,72
1650,591.33063,52
1652,591.34717,500
1654,591.36346,500
1656,591.38019,99
1658,591.39636,83
1660,591.41284,26
1662,591.42920,128
1663,591.44574,128
1664,591.46210,128
1666,591.47858,37
1668,591.49512,108
1670,591.51141,77
1671,591.52783,77
1673,591.54419,93
1675,591.56073,130
1677,591.57721,500
1679,591.59357,500
1681,591.61011,500
1683,591.62640,500
1685,591.64288,-13
1687,591.65955,-67
1689,591.67572,-222
1691,591.69214,-203
1693,591.70856,-222
1695,591.72504,-181
1697,591.74152,-209
1699,591.75787,-233
1701,591.77429,-355
1703,591.79333,-418
1705,591.80743,-395
1707,591.82379,-374
1709,591.84125,-226
1711,591.85632,-114
1713,591.87286,-83
1715,591.88965,16
1716,591.91241,16
1717,591.92261,16
1718,591.93915,16
1719,591.95520,16
1720,591.97144,16
1722,591.98914,6
1724,592.00421,105
1726,592.02106,500
1728,592.03784,144
1730,592.05359,124
1732,592.07013,139
1734,592.08691,85
1736,592.10297,105
1738,592.11987,83
1740,592.13586,146
1742,592.15228,82
1744,592.16852,150
1746,592.18524,130
